"Region","Year","Emigrations","Immigrations"
"Abruzzo",2002,0.080434991011633,0.0974308878161477
"Abruzzo",2003,0.0795182832886174,0.109541168461219
"Abruzzo",2004,0.0813790708696149,0.106660264120664
"Abruzzo",2005,0.0846439090180918,0.109636975132016
"Abruzzo",2006,0.0889126751064773,0.105867057901824
"Abruzzo",2007,0.0907154076471872,0.13598289418592
"Abruzzo",2008,0.0940588283292928,0.130446951019098
"Abruzzo",2009,0.0918777474927887,0.110442117972262
"Abruzzo",2010,0.0904755979381832,0.110329068675694
"Abruzzo",2011,0.0938670799416199,0.112700681602744
"Abruzzo",2012,0.117422035048933,0.131627246129538
"Abruzzo",2013,0.106972698886298,0.116238913448543
"Abruzzo",2014,0.103552249086034,0.107603626689766
"Abruzzo",2015,0.102667298217879,0.104892309456071
"Abruzzo",2016,0.108899153638234,0.113668371113641
"Abruzzo",2017,0.106016302238323,0.108779006491974
"Abruzzo",2018,0.111160368712286,0.120755647332931
"Abruzzo",2019,0.121110679701225,0.124744261501024
"Abruzzo",2020,0.106449984968403,0.111298737732246
"Abruzzo",2021,0.114137884734881,0.124237712058903
"Basilicata",2002,0.0732503437430393,0.0578828108383311
"Basilicata",2003,0.0742958225608926,0.0659130577940393
"Basilicata",2004,0.0712020924971195,0.0607396068998579
"Basilicata",2005,0.0735150079654745,0.0564208467847299
"Basilicata",2006,0.0754874930309721,0.0550133788388964
"Basilicata",2007,0.0751912516132992,0.0722996738450312
"Basilicata",2008,0.0739575459867291,0.0636793136925368
"Basilicata",2009,0.0753346668718264,0.0623343762288215
"Basilicata",2010,0.0713743825285178,0.0623118406914994
"Basilicata",2011,0.0729144785550715,0.0694089085555881
"Basilicata",2012,0.0870098039215686,0.0760149130074565
"Basilicata",2013,0.0739191411998961,0.0673707904077569
"Basilicata",2014,0.0753958743622072,0.0651703501477908
"Basilicata",2015,0.0729193560767293,0.0642423016000391
"Basilicata",2016,0.0833709138829277,0.0698735012379647
"Basilicata",2017,0.0829441830492316,0.073911776908749
"Basilicata",2018,0.0860297565758622,0.0707216040698583
"Basilicata",2019,0.0976284804336657,0.0721892919097652
"Basilicata",2020,0.0875547217010632,0.0647984470062575
"Basilicata",2021,0.0908333791939537,0.0751600535652046
"Calabria",2002,0.097927232799767,0.0780207002840874
"Calabria",2003,0.10181586154787,0.0973533416643039
"Calabria",2004,0.10676912941487,0.0828192784453841
"Calabria",2005,0.0982265802622153,0.0762941466154826
"Calabria",2006,0.101108504250864,0.0789202553041197
"Calabria",2007,0.095518264528735,0.107229592020435
"Calabria",2008,0.0963827904765225,0.0928811404565889
"Calabria",2009,0.0968638742210532,0.0953723842640726
"Calabria",2010,0.0938040883167209,0.093827395694418
"Calabria",2011,0.0940402596487207,0.0884947584973801
"Calabria",2012,0.113709883893411,0.099265647161139
"Calabria",2013,0.0977665445391683,0.0899558200802067
"Calabria",2014,0.0945529269859557,0.0870869858739492
"Calabria",2015,0.0924214531393382,0.0841836460212539
"Calabria",2016,0.098799589312871,0.0900753183725879
"Calabria",2017,0.0985790376399736,0.0880741378855944
"Calabria",2018,0.100833724393363,0.0871827411827007
"Calabria",2019,0.122501792605834,0.0920868546945876
"Calabria",2020,0.100452455242832,0.0768857141348707
"Calabria",2021,0.108171499424111,0.0929946829008476
"Campania",2002,0.112724962026063,0.0886139240928273
"Campania",2003,0.111299000175814,0.102747058100725
"Campania",2004,0.112283106464849,0.105000819165721
"Campania",2005,0.111783590447004,0.0945006901700683
"Campania",2006,0.112636266771512,0.094380436334752
"Campania",2007,0.115977020125513,0.105007350514536
"Campania",2008,0.119992497897596,0.105303934541564
"Campania",2009,0.108877508228036,0.102785403603226
"Campania",2010,0.108972177873165,0.105282787805486
"Campania",2011,0.114192985640824,0.104138419362279
"Campania",2012,0.132330106100409,0.115995746442828
"Campania",2013,0.115315535106513,0.106558450148872
"Campania",2014,0.10832704831846,0.101155938100402
"Campania",2015,0.104282463040778,0.0978590269055901
"Campania",2016,0.107870386439968,0.0995260917219657
"Campania",2017,0.10559296090782,0.100014298934989
"Campania",2018,0.1076335150651,0.0951838565691618
"Campania",2019,0.121757938752582,0.103575933693954
"Campania",2020,0.105738949462575,0.0912820284786288
"Campania",2021,0.114171108732527,0.100215495016233
"Emilia-Romagna",2002,0.10612084001361,0.151927591718173
"Emilia-Romagna",2003,0.102667164051472,0.163690330864173
"Emilia-Romagna",2004,0.116185427763195,0.176715865494886
"Emilia-Romagna",2005,0.117097729157712,0.168323959777456
"Emilia-Romagna",2006,0.122558810621523,0.170880433996696
"Emilia-Romagna",2007,0.121992610654836,0.185919814710942
"Emilia-Romagna",2008,0.120385490897608,0.192466175827535
"Emilia-Romagna",2009,0.115600068649211,0.167735846383689
"Emilia-Romagna",2010,0.119357464397461,0.170878824538514
"Emilia-Romagna",2011,0.121158067021305,0.163423647433031
"Emilia-Romagna",2012,0.130978108147129,0.166085595336612
"Emilia-Romagna",2013,0.119604806568197,0.146850904255006
"Emilia-Romagna",2014,0.115643982355653,0.13826504470312
"Emilia-Romagna",2015,0.11319605888268,0.138331495044287
"Emilia-Romagna",2016,0.117365876973856,0.144830322761009
"Emilia-Romagna",2017,0.116898450549668,0.151657924468125
"Emilia-Romagna",2018,0.117745258574153,0.153925396768273
"Emilia-Romagna",2019,0.130519146630764,0.170006949282793
"Emilia-Romagna",2020,0.120772318121448,0.147040883094738
"Emilia-Romagna",2021,0.127393562918329,0.158654650877001
"Friuli-Venezia Giulia",2002,0.102046656025552,0.137999667430002
"Friuli-Venezia Giulia",2003,0.104503823208134,0.148248046382657
"Friuli-Venezia Giulia",2004,0.113266122392344,0.152181708604544
"Friuli-Venezia Giulia",2005,0.117451200732509,0.146428601157032
"Friuli-Venezia Giulia",2006,0.118521607379005,0.150253188110127
"Friuli-Venezia Giulia",2007,0.122688783491843,0.171599082880154
"Friuli-Venezia Giulia",2008,0.117608102811778,0.162776003464088
"Friuli-Venezia Giulia",2009,0.116383987954139,0.14603320287461
"Friuli-Venezia Giulia",2010,0.121354748717279,0.147867298578199
"Friuli-Venezia Giulia",2011,0.118192108284824,0.14028845376995
"Friuli-Venezia Giulia",2012,0.128315307908686,0.15077939462686
"Friuli-Venezia Giulia",2013,0.116376745222602,0.134834083953544
"Friuli-Venezia Giulia",2014,0.116101108259373,0.127382888266296
"Friuli-Venezia Giulia",2015,0.116038452471383,0.127671765722817
"Friuli-Venezia Giulia",2016,0.122409982502993,0.138045465907147
"Friuli-Venezia Giulia",2017,0.121798238634443,0.146501221544365
"Friuli-Venezia Giulia",2018,0.12214291316966,0.151508271030545
"Friuli-Venezia Giulia",2019,0.138892973808961,0.157104924430815
"Friuli-Venezia Giulia",2020,0.121948307765773,0.141525232628319
"Friuli-Venezia Giulia",2021,0.128475002288787,0.155572571181264
"Lazio",2002,0.0872037755410888,0.102489300542833
"Lazio",2003,0.0858299131921067,0.117059117008136
"Lazio",2004,0.0844025206224508,0.123092632990754
"Lazio",2005,0.0985592688474971,0.121158958234386
"Lazio",2006,0.0899466077027631,0.115226705509372
"Lazio",2007,0.0843648299648558,0.13305343730867
"Lazio",2008,0.105467731798792,0.150843620979568
"Lazio",2009,0.0869212901723343,0.127686218909963
